Date,OpenPrice,HighestPrice,LowestPrice,ClosePrice
20190102,9725.27,9737.68,9542.52,9554.14
20190103,9494.25,9554.53,9474.47,9492.42
20190104,9427.24,9427.24,9319.28,9382.51
20190107,9460.20,9596.35,9460.20,9590.30
20190108,9591.56,9600.94,9547.63,9563.60
20190109,9584.63,9741.64,9584.63,9738.31
20190110,9731.11,9731.11,9683.20,9720.69
20190111,9753.63,9796.98,9736.00,9759.40
20190114,9737.67,9762.37,9677.49,9708.22
20190115,9701.93,9806.04,9701.93,9806.04
20190116,9781.35,9803.99,9763.81,9763.81
20190117,9773.31,9826.25,9759.51,9789.15
20190118,9781.39,9842.80,9771.15,9836.06
20190121,9870.27,9919.94,9870.27,9889.40
20190122,9880.54,9894.66,9855.47,9894.66
20190123,9869.54,9873.39,9828.03,9846.40
20190124,9865.00,9892.82,9847.32,9877.12
20190125,9923.39,9980.08,9918.21,9969.61
20190128,10006.46,10020.60,9990.07,10013.33
20190129,9944.71,9952.34,9893.96,9931.59
20190130,9915.97,9959.03,9909.81,9932.26
20190211,10029.84,10065.52,9988.83,10004.25
20190212,10032.08,10100.23,10032.08,10097.74
20190213,10123.61,10140.98,10074.34,10090.58
20190214,10095.99,10135.62,10082.00,10089.01
20190215,10111.18,10135.16,10055.50,10064.78
20190218,10096.94,10165.77,10096.94,10145.28
20190219,10152.11,10173.47,10143.15,10152.26
20190220,10181.94,10272.46,10181.94,10272.46
20190221,10282.32,10319.53,10256.53,10319.53
20190222,10309.02,10322.92,10269.95,10322.92
20190225,10343.45,10390.93,10343.45,10390.93
20190226,10403.03,10416.91,10368.86,10391.55
20190227,10385.81,10403.05,10343.56,10389.17
20190304,10385.25,10402.39,10313.18,10349.88
20190305,10323.25,10334.34,10295.44,10305.26
20190306,10328.18,10359.12,10327.90,10357.15
20190307,10359.47,10367.98,10299.46,10311.68
20190308,10274.28,10274.28,10204.21,10241.75
20190311,10224.27,10269.30,10214.02,10250.28
20190312,10294.37,10382.12,10294.37,10343.33
20190313,10331.27,10373.32,10331.27,10373.32
20190314,10391.30,10407.27,10339.64,10348.65
20190315,10374.66,10439.24,10370.00,10439.24
20190318,10455.19,10512.70,10445.74,10512.70
20190319,10497.40,10525.60,10484.69,10512.32
20190320,10529.30,10556.81,10506.96,10551.56
20190321,10563.93,10612.34,10551.67,10609.55
20190322,10642.57,10667.94,10589.47,10639.07
20190325,10535.12,10535.12,10458.79,10479.48
20190326,10506.68,10559.20,10506.68,10559.20
20190327,10542.68,10556.75,10515.86,10542.70
20190328,10529.02,10536.26,10499.29,10536.26
20190329,10551.99,10641.04,10525.27,10641.04
20190401,10714.68,10735.07,10627.01,10642.63
20190402,10695.47,10728.38,10685.10,10690.30
20190403,10725.17,10741.56,10690.23,10704.38
20190408,10759.96,10807.05,10759.96,10800.57
20190409,10805.39,10851.60,10793.77,10851.60
20190410,10839.93,10875.65,10815.61,10868.14
20190411,10869.24,10887.12,10797.76,10808.77
20190412,10820.94,10836.44,10782.02,10805.30
20190415,10849.84,10897.21,10849.55,10875.60
20190416,10905.63,10927.85,10876.34,10927.85
20190417,10961.61,11016.92,10961.61,10997.26
20190418,11038.24,11077.99,10926.85,10962.02
20190419,11017.69,11045.08,10950.43,10968.50
20190422,10994.52,11027.49,10974.82,10987.71
20190423,10994.28,11025.68,10949.30,11025.68
20190424,11054.02,11070.85,10995.83,11027.64
20190425,11017.73,11046.77,11006.68,11039.86
20190426,10986.53,10986.53,10906.44,10952.47
20190429,10952.91,10992.55,10905.78,10939.06
20190430,10945.94,10978.10,10910.78,10967.73
20190502,10992.76,11046.64,10988.70,11004.49
20190503,11037.99,11097.00,11018.86,11096.30
20190506,11005.36,11005.36,10870.40,10897.12
20190507,10913.95,11004.76,10913.95,10987.14
20190508,10938.47,10946.82,10867.06,10923.71
20190509,10910.47,10910.47,10732.97,10733.67
20190510,10751.55,10834.69,10669.39,10712.99
20190513,10684.04,10693.44,10549.06,10558.29
20190514,10480.21,10544.97,10363.02,10519.25
20190515,10535.24,10612.50,10535.24,10560.71
20190516,10556.58,10573.93,10474.61,10474.61
20190517,10508.56,10564.97,10384.11,10384.11
20190520,10405.36,10465.84,10385.18,10398.41
20190521,10362.35,10477.20,10342.32,10464.50
20190522,10481.10,10520.62,10453.50,10457.22
20190523,10404.00,10404.00,10289.69,10308.37
20190524,10313.15,10370.97,10308.59,10328.28
20190527,10344.18,10365.44,10305.28,10334.13
20190528,10348.58,10361.61,10312.31,10312.31
20190529,10277.35,10307.75,10227.44,10301.78
20190530,10307.12,10384.36,10306.03,10382.99
20190531,10386.12,10515.10,10369.02,10498.49
20190603,10482.45,10511.20,10383.51,10500.07
20190604,10499.51,10518.33,10421.81,10429.12
20190605,10497.50,10541.29,10446.51,10461.62
20190606,10409.90,10429.33,10371.08,10409.20
20190610,10486.23,10566.47,10466.24,10566.47
20190611,10567.54,10637.90,10548.06,10607.76
20190612,10605.75,10630.69,10566.37,10615.66
20190613,10582.19,10617.06,10539.49,10561.01
20190614,10546.42,10568.92,10517.82,10524.67
20190617,10488.70,10562.97,10474.19,10530.54
20190618,10547.15,10573.77,10521.70,10566.74
20190619,10650.48,10778.64,10650.48,10775.34
20190620,10749.41,10799.14,10745.25,10785.01
20190621,10817.71,10840.29,10773.47,10803.77
20190624,10734.25,10786.33,10695.49,10779.45
20190625,10777.18,10787.62,10693.04,10706.72
20190626,10661.39,10690.98,10645.37,10652.55
20190627,10674.20,10800.29,10674.20,10773.90
20190628,10786.66,10788.08,10719.08,10730.83
20190701,10821.30,10914.85,10821.30,10895.46
20190702,10878.01,10888.21,10843.64,10865.12
20190703,10793.10,10812.65,10720.66,10743.77
20190704,10755.87,10791.28,10750.90,10775.90
20190705,10785.85,10812.38,10756.67,10785.73
20190708,10742.81,10781.11,10708.92,10751.22
20190709,10729.83,10733.57,10680.85,10702.78
20190710,10723.23,10810.16,10723.23,10798.48
20190711,10817.60,10856.51,10799.65,10843.42
20190712,10855.16,10867.59,10823.89,10824.35
20190715,10819.92,10880.56,10769.57,10876.43
20190716,10865.00,10899.84,10865.00,10886.05
20190717,10861.11,10861.11,10804.34,10828.48
20190718,10821.92,10835.43,10792.27,10799.28
20190719,10861.99,10919.96,10861.99,10873.19
20190722,10910.50,10949.76,10909.15,10944.53
20190723,10963.86,10994.44,10932.53,10947.26
20190724,10969.74,10976.46,10912.92,10935.76
20190725,10892.25,10945.92,10879.40,10941.41
20190726,10898.25,10907.44,10879.24,10891.98
20190729,10872.63,10905.74,10863.33,10885.73
20190730,10909.98,10927.16,10827.74,10830.90
20190731,10824.15,10835.80,10754.07,10823.81
20190801,10773.06,10773.25,10714.73,10731.75
20190802,10641.28,10641.28,10524.68,10549.04
20190805,10528.87,10542.49,10418.25,10423.41
20190806,10304.88,10425.60,10180.04,10394.75
20190807,10422.89,10461.37,10366.54,10386.18
20190808,10383.62,10500.77,10383.62,10494.49
20190812,10491.79,10514.05,10440.77,10472.36
20190813,10436.62,10436.62,10361.89,10362.66
20190814,10444.50,10518.02,10427.73,10427.73
20190815,10374.75,10374.75,10287.76,10327.13
20190816,10345.42,10456.32,10318.37,10420.89
20190819,10449.39,10516.05,10449.39,10488.75
20190820,10508.42,10538.12,10497.13,10522.50
20190821,10526.87,10545.25,10504.49,10525.80
20190822,10560.01,10596.41,10515.72,10529.78
20190823,10526.15,10541.73,10503.07,10538.11
20190826,10453.40,10453.40,10340.15,10354.57
20190827,10386.21,10431.78,10368.96,10387.23
20190828,10397.60,10456.30,10397.60,10434.29
20190829,10440.15,10466.99,10406.49,10462.43
20190830,10504.28,10618.05,10504.28,10618.05
20190902,10613.19,10634.85,10589.42,10634.85
20190903,10629.22,10650.15,10557.03,10558.21
20190904,10566.32,10670.43,10566.32,10657.31
20190905,10718.40,10766.60,10714.27,10756.93
20190906,10783.46,10803.07,10753.45,10780.64
20190909,10808.68,10829.44,10778.15,10801.14
20190910,10791.95,10810.03,10732.78,10753.58
20190911,10787.65,10815.59,10746.87,10790.35
20190912,10830.25,10862.68,10804.02,10827.55
20190916,10822.69,10898.13,10822.69,10898.13
20190917,10908.85,10912.23,10866.43,10874.50
20190918,10887.42,10971.54,10878.34,10929.45
20190919,10947.62,10954.18,10874.66,10894.70
20190920,10908.10,10931.76,10903.45,10929.69
20190923,10924.81,10948.19,10905.92,10919.02
20190924,10917.44,10947.53,10886.62,10918.01
20190925,10885.67,10885.67,10825.85,10873.69
20190926,10909.57,10934.91,10856.96,10871.99
20190927,10904.00,10921.17,10827.61,10829.68
20191001,10855.60,10967.65,10855.60,10967.65
20191002,10945.92,10965.20,10927.39,10947.88
20191003,10866.50,10888.40,10809.28,10875.91
20191004,10907.69,10941.49,10854.12,10894.48
20191007,10932.24,10954.45,10919.43,10935.06
20191008,10986.01,11020.51,10986.01,11017.31
20191009,10976.93,10989.39,10889.96,10889.96
20191014,11004.74,11085.49,11004.74,11066.95
20191015,11103.50,11126.45,11091.29,11111.80
20191016,11166.17,11180.11,11113.18,11162.83
20191017,11156.14,11186.88,11131.45,11186.88
20191018,11190.21,11237.38,11154.86,11180.22
